Table,API_Name,Snake_Name,Web_Name,Label,note
Activity,ActivityAdminCoveragePercentage,activity_admin_coverage_percentage,ActivityAdminCoveragePercentage,Activity admin coverage percentage.,
Activity,ActivityParent_IM_HH_MissedChildrenPercentage,activity_parent_im_hh_missed_children_percentage,ActivityParent_IM_HH_MissedChildrenPercentage,Activity parent independent monitoring house-to-house monitoring missed children percentage.,
Activity,ActivityParent_IM_OH_MissedChildrenPercentage,activity_parent_im_oh_missed_children_percentage,ActivityParent_IM_OH_MissedChildrenPercentage,Activity parent independent monitoring out-of-house monitoring missed children percentage.,
Activity,ActivityParent_LqasFailPercentage,activity_parent_lqas_fail_percentage,ActivityParent_LqasFailPercentage,Activity parent lot quality assurance sampling fail percentage.,
Activity,ActivityParent_LqasPassPercentage,activity_parent_lqas_pass_percentage,ActivityParent_LqasPassPercentage,Activity parent lot quality assurance sampling pass percentage.,
Activity,Admin0ShapeId,admin0shape_id,Admin0ShapeId,Country (admin level 0) — shape ID.,
Activity,Admin1ShapeId,admin1shape_id,Admin1ShapeId,Province/state (admin level 1) — shape ID.,
Activity,Admin2ShapeId,admin2shape_id,Admin2ShapeId,District (admin level 2) — shape ID.,
Activity,SubActivityId,sub_activity_id,SubActivityId,Internal identifier for sub activity.,
Activity,ActivityChildrenInaccessible,activity_children_inaccessible,Children inaccessible,Activity children inaccessible.,
Activity,ActivityParentChildrenInaccessible,activity_parent_children_inaccessible,Activity parent children inaccessible,Activity parent children inaccessible.,
Activity,ActivityType,activity_type,Activity Type,Activity type.,
Activity,Admin0Id,admin0id,Admin 0 Id,Admin 0 ID.,
Activity,AreaPopulationPercent,area_population_percent,Country Population %,Area population percent.,
Activity,IMDataLoaded,im_data_loaded,IM loaded,Im data loaded.,
Activity,LastUpdateDate,last_update_date,Last Updated Date,Last update date.,
Activity,LqasDataLoaded,lqas_data_loaded,LQAS loaded,LQAS data loaded.,
ActivityParent,ActivityParentRoundNumber,activity_parent_round_number,Round Number,Activity parent round number.,
ActivityParent,Admin0ShapeId,admin0shape_id,Admin0ShapeId,Country (admin level 0) — shape ID.,
ActivityParent,Admin0TrendId,admin0trend_id,Admin0TrendId,Country (admin level 0) — trend ID.,
ActivityParent,Admin1ShapeId,admin1shape_id,Admin1ShapeId,Province/state (admin level 1) — shape ID.,
ActivityParent,Admin1TrendId,admin1trend_id,Admin1TrendId,Province/state (admin level 1) — trend ID.,
ActivityParent,Admin2ShapeId,admin2shape_id,Admin2ShapeId,District (admin level 2) — shape ID.,
ActivityParent,Admin2TrendId,admin2trend_id,Admin2TrendId,District (admin level 2) — trend ID.,
ActivityParent,ApprovalDate,approval_date,Approval Date,Date of approval.,
ApiV2ReferenceData,Id,id,Id,Internal identifier for this record.,
Case,Admin0ShapeId,admin0shape_id,Admin 0 ShapeId,Country (admin level 0) — shape ID.,
Case,Admin1ShapeId,admin1shape_id,Admin 1 ShapeId,Province/state (admin level 1) — shape ID.,
Case,Admin2ShapeId,admin2shape_id,Admin 2 ShapeId,District (admin level 2) — shape ID.,
Case,CaseManualEditId,case_manual_edit_id,CaseManualEditId,Internal identifier for case manual edit.,
Case,CountryISO2Code,country_iso2code,CountryISO2Code,Country ISO country code 2 code.,
Case,DatasetCodes,dataset_codes,DatasetCodes,Dataset codes.,
Case,HasEmergenceGroupOrClusterName,has_emergence_group_or_cluster_name,,Whether emergence group or cluster name (yes/no).,
Case,IsBreakthrough,is_breakthrough,IsBreakthrough,Whether breakthrough (yes/no).,
Case,LastUpdateBy,last_update_by,,Last update by.,
Case,Location,location,Location,Location.,
Case,NPEV,npev,,Non-polio enterovirus.,
Case,nVACCINE1,n_vaccine1,nVACCINE1,N Sabin vaccine poliovirus 1.,
Case,nVACCINE2,n_vaccine2,nVACCINE2,N Sabin vaccine poliovirus 2.,
Case,nVACCINE3,n_vaccine3,nVACCINE3,N Sabin vaccine poliovirus 3.,
Case,PoNS_AdministrationType,pons_administration_type,PoNS Administration Type,PoNS administration type.,
Case,PoNS_ClosestMatch,pons_closest_match,PoNS Closest Match,PoNS closest match.,
Case,PoNS_ClosestMatchDash,pons_closest_match_dash,PoNS Closest Match Dash,PoNS closest match (DASH).,
Case,PoNS_Comments,pons_comments,PoNS Comments,PoNS comments.,
Case,PoNS_Country,pons_country,PoNS Country,PoNS country.,
Case,PoNS_DashId,pons_dash_id,PoNS Dash Id,Internal identifier for PoNS DASH.,
Case,PoNS_Environment,pons_environment,PoNS Environment,PoNS environment.,
Case,PoNS_EpiNum,pons_epi_num,PoNS Epid,PoNS EPID number.,
Case,PoNS_EpiNumPolis,pons_epi_num_polis,Epid in Polis,PoNS EPID number in POLIS.,
Case,PoNS_EpiNumTransformed,pons_epi_num_transformed,PoNS Epid formated,PoNS EPID number (formatted).,
Case,PoNS_Expr1005,pons_expr1005,PoNS Expr 1005,PoNS Expr1005.,
Case,PoNS_FileName,pons_file_name,PoNS FileName,Name of PoNS file.,
Case,PoNS_Genotype,pons_genotype,PoNS Genotype,PoNS genotype.,
Case,PoNS_Genotype2,pons_genotype2,PoNS Genotype2,PoNS genotype 2.,
Case,PoNS_ISO3,pons_iso3,PoNS ISO3,PoNS ISO country code 3.,
Case,PoNS_Latitude,pons_latitude,PoNS Latitude,PoNS latitude.,
Case,PoNS_Locality,pons_locality,PoNS Locality,PoNS locality.,
Case,PoNS_Longitude,pons_longitude,PoNS Longitude,PoNS longitude.,
Case,PoNS_MapDistEdit,pons_map_dist_edit,PoNS Map Dist Edit,PoNS map distance edit.,
Case,PoNS_MatchingQuality,pons_matching_quality,PoNS Matching Quality,PoNS matching quality.,
Case,PoNS_Mismatches,pons_mismatches,PoNS Mismatches,PoNS mismatches.,
Case,PoNS_NTChanges,pons_nt_changes,PoNS NT Changes,PoNS nucleotide changes.,
Case,PoNS_OnSetDate,pons_on_set_date,PoNS OnSet Date,Date of PoNS onset.,
Case,PoNS_Passage,pons_passage,PoNS Passage,PoNS passage.,
Case,PoNS_Patient,pons_patient,PoNS Patient,PoNS patient.,
Case,PoNS_ReceiptDate,pons_receipt_date,PoNS Receipt Date,Date of PoNS receipt.,
Case,PoNS_Reference,pons_reference,PoNS Reference,PoNS reference.,
