raw,clean,note
id,id,POLIS row Id; dedup key
epid,epid,linked case/sample EPID
last_update_date,last_update_date,POLIS update timestamp; dedup recency key
date_onset,date_onset,
date_sequence,date_seq,sequencing date
,year_onset,derived from date_onset
,month_onset,derived from date_onset
virus_type,virus_type,
emergence_group,emergence_group,
nt_changes,nt_changes,
surveillance_type,surveillance_type,human or environmental
admin0_name,adm0,
admin1_name,adm1,
admin2_name,adm2,
admin0_guid,adm0_guid,
admin1_guid,adm1_guid,
admin2_guid,adm2_guid,
country_iso3_code,country_iso3,
who_region,who_region,
